city,city_latitude,city_longitude,forecast_28-09-2021,forecast_29-09-2021,forecast_30-09-2021,forecast_01-10-2021,forecast_02-10-2021,forecast_03-10-2021,forecast_04-10-2021,mean_tmax,mean_tmin,mean_proba_rain,mean_proba_wind_more_70,is_good_weather
Mont-Saint-Michel,48.6222,-1.5331,"{'t_max': 18, 't_min': 9, 'proba_rain': 70, 'proba_wind_more_70': 0}","{'t_max': 15, 't_min': 7, 'proba_rain': 50, 'proba_wind_more_70': 10}","{'t_max': 19, 't_min': 6, 'proba_rain': 0, 'proba_wind_more_70': 10}","{'t_max': 21, 't_min': 9, 'proba_rain': 60, 'proba_wind_more_70': 0}","{'t_max': 20, 't_min': 9, 'proba_rain': 60, 'proba_wind_more_70': 10}","{'t_max': 20, 't_min': 9, 'proba_rain': 60, 'proba_wind_more_70': 10}","{'t_max': 20, 't_min': 10, 'proba_rain': 60, 'proba_wind_more_70': 10}",19.0,8.428571428571429,51.42857142857143,7.142857142857143,False
Saint-Malo,48.64,-1.9806,"{'t_max': 18, 't_min': 10, 'proba_rain': 90, 'proba_wind_more_70': 0}","{'t_max': 15, 't_min': 9, 'proba_rain': 50, 'proba_wind_more_70': 10}","{'t_max': 18, 't_min': 8, 'proba_rain': 0, 'proba_wind_more_70': 10}","{'t_max': 20, 't_min': 10, 'proba_rain': 60, 'proba_wind_more_70': 0}","{'t_max': 20, 't_min': 9, 'proba_rain': 60, 'proba_wind_more_70': 10}","{'t_max': 21, 't_min': 10, 'proba_rain': 60, 'proba_wind_more_70': 10}","{'t_max': 20, 't_min': 11, 'proba_rain': 60, 'proba_wind_more_70': 10}",18.857142857142858,9.571428571428571,54.285714285714285,7.142857142857143,False
Bayeux,49.2777,-0.7046,"{'t_max': 18, 't_min': 9, 'proba_rain': 50, 'proba_wind_more_70': 0}","{'t_max': 15, 't_min': 6, 'proba_rain': 50, 'proba_wind_more_70': 10}","{'t_max': 19, 't_min': 6, 'proba_rain': 0, 'proba_wind_more_70': 10}","{'t_max': 17, 't_min': 9, 'proba_rain': 60, 'proba_wind_more_70': 10}","{'t_max': 18, 't_min': 9, 'proba_rain': 60, 'proba_wind_more_70': 10}","{'t_max': 19, 't_min': 9, 'proba_rain': 60, 'proba_wind_more_70': 10}","{'t_max': 18, 't_min': 10, 'proba_rain': 60, 'proba_wind_more_70': 10}",17.714285714285715,8.285714285714286,48.57142857142857,8.571428571428571,False
Havre,49.4985,0.1402,"{'t_max': 19, 't_min': 11, 'proba_rain': 30, 'proba_wind_more_70': 0}","{'t_max': 14, 't_min': 9, 'proba_rain': 60, 'proba_wind_more_70': 10}","{'t_max': 16, 't_min': 7, 'proba_rain': 0, 'proba_wind_more_70': 10}","{'t_max': 16, 't_min': 9, 'proba_rain': 60, 'proba_wind_more_70': 10}","{'t_max': 17, 't_min': 9, 'proba_rain': 60, 'proba_wind_more_70': 10}","{'t_max': 18, 't_min': 9, 'proba_rain': 60, 'proba_wind_more_70': 10}","{'t_max': 18, 't_min': 10, 'proba_rain': 60, 'proba_wind_more_70': 10}",16.857142857142858,9.142857142857142,47.142857142857146,8.571428571428571,False
Rouen,49.4413,1.0926,"{'t_max': 19, 't_min': 12, 'proba_rain': 20, 'proba_wind_more_70': 0}","{'t_max': 15, 't_min': 7, 'proba_rain': 60, 'proba_wind_more_70': 10}","{'t_max': 17, 't_min': 5, 'proba_rain': 0, 'proba_wind_more_70': 10}","{'t_max': 20, 't_min': 9, 'proba_rain': 60, 'proba_wind_more_70': 10}","{'t_max': 19, 't_min': 8, 'proba_rain': 60, 'proba_wind_more_70': 10}","{'t_max': 20, 't_min': 9, 'proba_rain': 60, 'proba_wind_more_70': 10}","{'t_max': 19, 't_min': 9, 'proba_rain': 60, 'proba_wind_more_70': 10}",18.428571428571427,8.428571428571429,45.714285714285715,8.571428571428571,False
Paris,48.8626,2.3363,"{'t_max': 19, 't_min': 14, 'proba_rain': 10, 'proba_wind_more_70': 0}","{'t_max': 18, 't_min': 11, 'proba_rain': 60, 'proba_wind_more_70': 10}","{'t_max': 19, 't_min': 9, 'proba_rain': 0, 'proba_wind_more_70': 0}","{'t_max': 21, 't_min': 11, 'proba_rain': 60, 'proba_wind_more_70': 0}","{'t_max': 20, 't_min': 9, 'proba_rain': 60, 'proba_wind_more_70': 10}","{'t_max': 20, 't_min': 10, 'proba_rain': 60, 'proba_wind_more_70': 10}","{'t_max': 20, 't_min': 11, 'proba_rain': 60, 'proba_wind_more_70': 10}",19.571428571428573,10.714285714285714,44.285714285714285,5.714285714285714,False
Amiens,49.901,2.2901,"{'t_max': 18, 't_min': 10, 'proba_rain': 10, 'proba_wind_more_70': 0}","{'t_max': 15, 't_min': 7, 'proba_rain': 60, 'proba_wind_more_70': 10}","{'t_max': 16, 't_min': 6, 'proba_rain': 0, 'proba_wind_more_70': 10}","{'t_max': 20, 't_min': 9, 'proba_rain': 60, 'proba_wind_more_70': 10}","{'t_max': 19, 't_min': 8, 'proba_rain': 60, 'proba_wind_more_70': 10}","{'t_max': 19, 't_min': 9, 'proba_rain': 60, 'proba_wind_more_70': 10}","{'t_max': 19, 't_min': 10, 'proba_rain': 60, 'proba_wind_more_70': 10}",18.0,8.428571428571429,44.285714285714285,8.571428571428571,False
Lille,50.6317,3.0478,"{'t_max': 17, 't_min': 10, 'proba_rain': 10, 'proba_wind_more_70': 0}","{'t_max': 16, 't_min': 7, 'proba_rain': 70, 'proba_wind_more_70': 20}","{'t_max': 16, 't_min': 7, 'proba_rain': 40, 'proba_wind_more_70': 10}","{'t_max': 19, 't_min': 10, 'proba_rain': 60, 'proba_wind_more_70': 10}","{'t_max': 19, 't_min': 9, 'proba_rain': 60, 'proba_wind_more_70': 10}","{'t_max': 19, 't_min': 10, 'proba_rain': 60, 'proba_wind_more_70': 10}","{'t_max': 19, 't_min': 10, 'proba_rain': 60, 'proba_wind_more_70': 10}",17.857142857142858,9.0,51.42857142857143,10.0,False
Strasbourg,48.5713,7.7675,"{'t_max': 18, 't_min': 11, 'proba_rain': 70, 'proba_wind_more_70': 0}","{'t_max': 20, 't_min': 8, 'proba_rain': 60, 'proba_wind_more_70': 0}","{'t_max': 17, 't_min': 6, 'proba_rain': 0, 'proba_wind_more_70': 0}","{'t_max': 22, 't_min': 8, 'proba_rain': 50, 'proba_wind_more_70': 0}","{'t_max': 20, 't_min': 9, 'proba_rain': 60, 'proba_wind_more_70': 0}","{'t_max': 21, 't_min': 9, 'proba_rain': 60, 'proba_wind_more_70': 0}","{'t_max': 19, 't_min': 10, 'proba_rain': 60, 'proba_wind_more_70': 10}",19.571428571428573,8.714285714285714,51.42857142857143,1.4285714285714286,False
Colmar,48.1099,7.3847,"{'t_max': 19, 't_min': 12, 'proba_rain': 70, 'proba_wind_more_70': 0}","{'t_max': 20, 't_min': 8, 'proba_rain': 60, 'proba_wind_more_70': 0}","{'t_max': 17, 't_min': 6, 'proba_rain': 0, 'proba_wind_more_70': 0}","{'t_max': 22, 't_min': 8, 'proba_rain': 50, 'proba_wind_more_70': 0}","{'t_max': 19, 't_min': 9, 'proba_rain': 60, 'proba_wind_more_70': 0}","{'t_max': 20, 't_min': 9, 'proba_rain': 60, 'proba_wind_more_70': 0}","{'t_max': 19, 't_min': 9, 'proba_rain': 60, 'proba_wind_more_70': 10}",19.428571428571427,8.714285714285714,51.42857142857143,1.4285714285714286,False
