city|city_latitude|city_longitude|forecast_28-09-2021|forecast_29-09-2021|forecast_30-09-2021|forecast_01-10-2021|forecast_02-10-2021|forecast_03-10-2021|forecast_04-10-2021|mean_tmax|mean_tmin|mean_proba_rain|mean_proba_wind_more_70|is_good_weather|hotel_name|hotel_rating|hotel_price|hotel_text|hotel_address|hotel_lat|hotel_long
Grenoble|45.1821|5.7213|{'t_max': 22, 't_min': 16, 'proba_rain': 20, 'proba_wind_more_70': 0}|{'t_max': 19, 't_min': 10, 'proba_rain': 60, 'proba_wind_more_70': 0}|{'t_max': 18, 't_min': 9, 'proba_rain': 10, 'proba_wind_more_70': 0}|{'t_max': 22, 't_min': 10, 'proba_rain': 40, 'proba_wind_more_70': 0}|{'t_max': 23, 't_min': 10, 'proba_rain': 60, 'proba_wind_more_70': 0}|{'t_max': 22, 't_min': 10, 'proba_rain': 60, 'proba_wind_more_70': 0}|{'t_max': 21, 't_min': 11, 'proba_rain': 60, 'proba_wind_more_70': 0}|21.0|10.857142857142858|44.28571428571429|0.0|True|Maison Barbillon Grenoble|8.2|83|La Maison Barbillon Grenoble vous accueille a Grenoble a seulement 100 metres de la gare L etablissement propose des chambres confortables dotees d une television par satellite et d une connexion Wi Fi gratuite Les chambres de la Maison Barbillon Grenoble presentent une decoration authentique et elegante Elles disposent d une salle de bains privative avec seche cheveux |10, Rue Barbillon, 38000 Grenoble, France|45.1907933|5.71669668
Grenoble|45.1821|5.7213|{'t_max': 22, 't_min': 16, 'proba_rain': 20, 'proba_wind_more_70': 0}|{'t_max': 19, 't_min': 10, 'proba_rain': 60, 'proba_wind_more_70': 0}|{'t_max': 18, 't_min': 9, 'proba_rain': 10, 'proba_wind_more_70': 0}|{'t_max': 22, 't_min': 10, 'proba_rain': 40, 'proba_wind_more_70': 0}|{'t_max': 23, 't_min': 10, 'proba_rain': 60, 'proba_wind_more_70': 0}|{'t_max': 22, 't_min': 10, 'proba_rain': 60, 'proba_wind_more_70': 0}|{'t_max': 21, 't_min': 11, 'proba_rain': 60, 'proba_wind_more_70': 0}|21.0|10.857142857142858|44.28571428571429|0.0|True|Le Hüb hostel - Grenoble|7.5|58|L auberge de jeunesse Le Hub hostel Grenoble vous accueille a Grenoble a 300 metres du centre des congres du WTC Elle possede un bar un parking prive un salon commun un jardin et une terrasse Les chambres climatisees de cet etablissement 3 etoiles sont pourvues d une connexion Wi Fi gratuite et de l acces a une salle de bains commune Sur place vous pourrez profiter d un karaoke et d une reception ouverte 24h 24 Tous les matins cette auberge de jeunesse vous servira un petit dejeuner continental |25 Avenue Doyen Louis Weil, 38000 Grenoble, France|45.192873|5.711917
Grenoble|45.1821|5.7213|{'t_max': 22, 't_min': 16, 'proba_rain': 20, 'proba_wind_more_70': 0}|{'t_max': 19, 't_min': 10, 'proba_rain': 60, 'proba_wind_more_70': 0}|{'t_max': 18, 't_min': 9, 'proba_rain': 10, 'proba_wind_more_70': 0}|{'t_max': 22, 't_min': 10, 'proba_rain': 40, 'proba_wind_more_70': 0}|{'t_max': 23, 't_min': 10, 'proba_rain': 60, 'proba_wind_more_70': 0}|{'t_max': 22, 't_min': 10, 'proba_rain': 60, 'proba_wind_more_70': 0}|{'t_max': 21, 't_min': 11, 'proba_rain': 60, 'proba_wind_more_70': 0}|21.0|10.857142857142858|44.28571428571429|0.0|True|Residhotel Grenette|7.7|59|Le Residhotel Grenette est situe dans le centre de Grenoble a 3 minutes a pied de la place Victor Hugo Il propose un hebergement independant avec une connexion Wi Fi gratuite Chaque logement dispose d une piece a vivre avec un bureau et une television par cable Leur kitchenette est equipee de plaques de cuisson d un micro ondes d un refrigerateur et d une cafetiere |12 Rue De Palanka, 38000 Grenoble, France|45.19056363|5.72448447
Grenoble|45.1821|5.7213|{'t_max': 22, 't_min': 16, 'proba_rain': 20, 'proba_wind_more_70': 0}|{'t_max': 19, 't_min': 10, 'proba_rain': 60, 'proba_wind_more_70': 0}|{'t_max': 18, 't_min': 9, 'proba_rain': 10, 'proba_wind_more_70': 0}|{'t_max': 22, 't_min': 10, 'proba_rain': 40, 'proba_wind_more_70': 0}|{'t_max': 23, 't_min': 10, 'proba_rain': 60, 'proba_wind_more_70': 0}|{'t_max': 22, 't_min': 10, 'proba_rain': 60, 'proba_wind_more_70': 0}|{'t_max': 21, 't_min': 11, 'proba_rain': 60, 'proba_wind_more_70': 0}|21.0|10.857142857142858|44.28571428571429|0.0|True|Residhome Grenoble Caserne De Bonne|8.0|71|Le Residhome Grenoble Caserne De Bonne est un etablissement 4 etoiles situe a Grenoble a seulement 10 minutes a pied du centre ville Il vous propose des hebergements dotes d une connexion Wi Fi gratuite et offrant une vue sur le Vercors et la chaine de Belledonne Ces appartements disposent d une cuisine entierement equipee et d une salle de bains privative Ils sont egalement pourvus d une television a ecran plat et d un bureau |21 Rue Lazare Carnot, 38000 Grenoble, France|45.18346987|5.72433829
Grenoble|45.1821|5.7213|{'t_max': 22, 't_min': 16, 'proba_rain': 20, 'proba_wind_more_70': 0}|{'t_max': 19, 't_min': 10, 'proba_rain': 60, 'proba_wind_more_70': 0}|{'t_max': 18, 't_min': 9, 'proba_rain': 10, 'proba_wind_more_70': 0}|{'t_max': 22, 't_min': 10, 'proba_rain': 40, 'proba_wind_more_70': 0}|{'t_max': 23, 't_min': 10, 'proba_rain': 60, 'proba_wind_more_70': 0}|{'t_max': 22, 't_min': 10, 'proba_rain': 60, 'proba_wind_more_70': 0}|{'t_max': 21, 't_min': 11, 'proba_rain': 60, 'proba_wind_more_70': 0}|21.0|10.857142857142858|44.28571428571429|0.0|True|Novotel Grenoble Centre|7.8|91|Le Novotel Grenoble Centre est installe au coeur du quartier des affaires de Grenoble a seulement quelques pas de la gare TGV Vous trouverez un arret de tramway juste devant l hotel et de nombreuses grandes entreprises a proximite Le centre historique est a seulement 10 minutes en voiture du Novotel Grenoble Centre Les chambres sont equipees de la climatisation d un bureau d un coffre fort et d un minibar Certaines disposent d une machine a cafe Nespresso Toutes comprennent une salle de bains privative avec une douche et un seche cheveux |7 Place Robert Schuman, 38000 Grenoble, France|45.190695|5.71259558
Grenoble|45.1821|5.7213|{'t_max': 22, 't_min': 16, 'proba_rain': 20, 'proba_wind_more_70': 0}|{'t_max': 19, 't_min': 10, 'proba_rain': 60, 'proba_wind_more_70': 0}|{'t_max': 18, 't_min': 9, 'proba_rain': 10, 'proba_wind_more_70': 0}|{'t_max': 22, 't_min': 10, 'proba_rain': 40, 'proba_wind_more_70': 0}|{'t_max': 23, 't_min': 10, 'proba_rain': 60, 'proba_wind_more_70': 0}|{'t_max': 22, 't_min': 10, 'proba_rain': 60, 'proba_wind_more_70': 0}|{'t_max': 21, 't_min': 11, 'proba_rain': 60, 'proba_wind_more_70': 0}|21.0|10.857142857142858|44.28571428571429|0.0|True|Citadines City Centre Grenoble|8.1|75|Le Citadines City Centre Grenoble est situe dans une zone commerciale de Grenoble a 350 metres de la place Verdun et a 10 minutes a pied du centre ville Vous sejournerez a 200 metres du parc Paul Mistral et a 1 km du musee de Grenoble Vous beneficierez gratuitement d une connexion Wi Fi Les appartements independants sont dotes d une television a ecran plat et d une kitchenette equipee Le linge de lit et les serviettes sont disponibles et changes sans frais une fois par semaine |9, Rue de Strasbourg, 38000 Grenoble, France|45.18678765|5.73140591
Grenoble|45.1821|5.7213|{'t_max': 22, 't_min': 16, 'proba_rain': 20, 'proba_wind_more_70': 0}|{'t_max': 19, 't_min': 10, 'proba_rain': 60, 'proba_wind_more_70': 0}|{'t_max': 18, 't_min': 9, 'proba_rain': 10, 'proba_wind_more_70': 0}|{'t_max': 22, 't_min': 10, 'proba_rain': 40, 'proba_wind_more_70': 0}|{'t_max': 23, 't_min': 10, 'proba_rain': 60, 'proba_wind_more_70': 0}|{'t_max': 22, 't_min': 10, 'proba_rain': 60, 'proba_wind_more_70': 0}|{'t_max': 21, 't_min': 11, 'proba_rain': 60, 'proba_wind_more_70': 0}|21.0|10.857142857142858|44.28571428571429|0.0|True|Kyriad Grenoble Centre|7.9|69|Situe a Grenoble a 200 metres du stade Lesdiguieres le Kyriad Grenoble Centre vous accueille dans un hotel 3 etoiles dote d une reception ouverte 24h 24 et d une connexion Wi Fi gratuite Le centre de conventions Alpexpo se trouve a 3 km Vous pourrez profiter gratuitement d un parking prive sous surveillance video Toutes les chambres comprennent la climatisation une television par satellite a ecran plat avec Canal notamment et un plateau bouilloire Leur salle de bains privative est pourvue d une baignoire et d articles de toilette offerts |116 Cours de la Libération, 38100 Grenoble, France|45.16819994|5.71199477
Grenoble|45.1821|5.7213|{'t_max': 22, 't_min': 16, 'proba_rain': 20, 'proba_wind_more_70': 0}|{'t_max': 19, 't_min': 10, 'proba_rain': 60, 'proba_wind_more_70': 0}|{'t_max': 18, 't_min': 9, 'proba_rain': 10, 'proba_wind_more_70': 0}|{'t_max': 22, 't_min': 10, 'proba_rain': 40, 'proba_wind_more_70': 0}|{'t_max': 23, 't_min': 10, 'proba_rain': 60, 'proba_wind_more_70': 0}|{'t_max': 22, 't_min': 10, 'proba_rain': 60, 'proba_wind_more_70': 0}|{'t_max': 21, 't_min': 11, 'proba_rain': 60, 'proba_wind_more_70': 0}|21.0|10.857142857142858|44.28571428571429|0.0|True|Residhotel Le Central'Gare|7.9|66|Le Residhotel Le Central Gare propose des hebergements independants avec une connexion Wi Fi gratuite Situe en face de la gare de Grenoble ainsi qu a proximite de la place Grenette et de son atmosphere animee l etablissement est tres bien desservi par les transports en commun Il possede une reception ouverte 24h 24 ainsi qu une salle de reunion pouvant accueillir des receptions ou des seminaires Tous les logements du Residhotel Le Central Gare sont equipes d un micro ondes d un refrigerateur d une machine a cafe de plaques de cuisson et d une bouilloire Ils disposent aussi de la climatisation d un coin salon et d une television a ecran plat |8 Place de la Gare, 38000 Grenoble, France|45.19085898|5.71572438
Grenoble|45.1821|5.7213|{'t_max': 22, 't_min': 16, 'proba_rain': 20, 'proba_wind_more_70': 0}|{'t_max': 19, 't_min': 10, 'proba_rain': 60, 'proba_wind_more_70': 0}|{'t_max': 18, 't_min': 9, 'proba_rain': 10, 'proba_wind_more_70': 0}|{'t_max': 22, 't_min': 10, 'proba_rain': 40, 'proba_wind_more_70': 0}|{'t_max': 23, 't_min': 10, 'proba_rain': 60, 'proba_wind_more_70': 0}|{'t_max': 22, 't_min': 10, 'proba_rain': 60, 'proba_wind_more_70': 0}|{'t_max': 21, 't_min': 11, 'proba_rain': 60, 'proba_wind_more_70': 0}|21.0|10.857142857142858|44.28571428571429|0.0|True|Brit Hotel Suisse et Bordeaux - Centre Gare|7.1|75|Le Brit Hotel Suisse et Bordeaux Centre Gare vous accueille a proximite d une rue pietonne et commercante du centre ville de Grenoble Il propose des chambres avec salle de bains privative et connexion Wi Fi gratuite ainsi que des salles de reunion equipees d un projecteur et d un tableau a feuilles mobiles La gare vous attend a 100 metres Dotees de fenetres a double vitrage toutes les chambres comprennent une salle de bains privative et une television a ecran LCD avec des chaines internationales et Canal Un seche cheveux est disponible a la reception ouverte 24h 24 |6 Place De La Gare, 38000 Grenoble, France|45.19051921|5.71601942
Grenoble|45.1821|5.7213|{'t_max': 22, 't_min': 16, 'proba_rain': 20, 'proba_wind_more_70': 0}|{'t_max': 19, 't_min': 10, 'proba_rain': 60, 'proba_wind_more_70': 0}|{'t_max': 18, 't_min': 9, 'proba_rain': 10, 'proba_wind_more_70': 0}|{'t_max': 22, 't_min': 10, 'proba_rain': 40, 'proba_wind_more_70': 0}|{'t_max': 23, 't_min': 10, 'proba_rain': 60, 'proba_wind_more_70': 0}|{'t_max': 22, 't_min': 10, 'proba_rain': 60, 'proba_wind_more_70': 0}|{'t_max': 21, 't_min': 11, 'proba_rain': 60, 'proba_wind_more_70': 0}|21.0|10.857142857142858|44.28571428571429|0.0|True|Hôtel d’Angleterre Grenoble Hyper-Centre|8.0|93|L Hotel d Angleterre Grenoble Hyper Centre est situe au coeur de Grenoble face aux jardins de la place Victor Hugo et a seulement 1 minute a pied de l arret de tramway Victor Hugo Il comporte une connexion Wi Fi gratuite et un bar sur place Toutes les chambres sont insonorisees et climatisees Elles disposent d un bureau d une television par satellite a ecran LCD et d un lecteur DVD Leur salle de bains privative est pourvue d articles de toilette gratuits Certaines beneficient egalement d une baignoire d hydromassage et d un balcon prive offrant une vue sur le massif du Vercors |5, place Victor Hugo, 38000 Grenoble, France|45.18920402|5.72537228
